,balance,equity,balance_btc,equity_btc
14460,109378.94564614337,109191.7898523807,9.934449955609347,9.932178662800894
14520,109378.94564614337,108462.20690726789,9.934449955609347,9.924529624499517
14580,109378.94564614337,108424.40410091745,9.934449955609347,9.924130813523936
14640,109378.94564614337,107545.74124589459,9.934449955609347,9.914791301363932
14700,109378.94564614337,108070.94225281621,9.934449955609347,9.920389932348453
14760,109378.94564614337,108235.95094166324,9.934449955609347,9.922138999632695
14820,109378.94564614337,107734.97962664573,9.934449955609347,9.916814139587984
14880,109378.94564614337,107904.6996444741,9.934449955609347,9.918623002525425
14940,109378.94564614337,107730.71699566259,9.934449955609347,9.916768643931425
15000,109378.94564614337,107792.18862141931,9.934449955609347,9.917424431332437
15060,109378.94564614337,107175.90192085816,9.934449955609347,9.910819733333286
15120,109378.94564614337,107820.90529330568,9.934449955609347,9.917730558008456
15180,109378.94564614337,107091.54669719197,9.934449955609347,9.909910479626815
15240,109378.94564614337,107005.621030532,9.934449955609347,9.908982996386836
15300,109378.94564614337,107455.77729725059,9.934449955609347,9.91382743553827
15360,109378.94564614337,107422.34929638289,9.934449955609347,9.913468927314774
15420,109378.94564614337,107442.09200830477,9.934449955609347,9.913680687550265
15480,109378.94564614337,107704.58033726602,9.934449955609347,9.916489614117278
15540,109378.94564614337,108135.89128805921,9.934449955609347,9.921078945765876
15600,109378.94564614337,108306.50870188401,9.934449955609347,9.922885462324071
15660,109378.94564614337,108611.39899167747,9.934449955609347,9.926101169043818
15720,109378.94564614337,108716.394323262,9.934449955609347,9.927204869830048
15780,109378.94564614337,108383.57258307905,9.934449955609347,9.923699773851762
15840,109378.94564614337,108569.89442684173,9.934449955609347,9.925664356146909
15900,109378.94564614337,108181.99500737674,9.934449955609347,9.921567594121708
15960,109378.94564614337,108184.9115443652,9.934449955609347,9.921598493794487
16020,109378.94564614337,108383.90910657772,9.934449955609347,9.923703327550763
16080,109378.94564614337,108338.59060875706,9.934449955609347,9.923224586977916
16140,109378.94564614337,108109.08158266528,9.934449955609347,9.920794623093347
16200,109378.94564614337,108405.44661049248,9.934449955609347,9.923930723686654
16260,109378.94564614337,108741.52141116255,9.934449955609347,9.927468723630819
16320,109378.94564614337,108670.73930194267,9.934449955609347,9.926725180564564
16380,109378.94564614337,108734.79094118917,9.934449955609347,9.927398059087846
16440,109378.94564614337,109285.5677340096,9.934449955609347,9.933155282537841
16500,109378.94564614337,108925.48759043454,9.934449955609347,9.929397227933869
16560,109378.94564614337,109031.49249251506,9.934449955609347,9.930505853436653
16620,109378.94564614337,109079.27882932594,9.934449955609347,9.931004990966253
16680,109378.94564614337,108380.88039508971,9.934449955609347,9.923671343556917
16740,109378.94564614337,108509.88106957922,9.934449955609347,9.925032225481614
16800,109378.94564614337,107968.19041122284,9.934449955609347,9.919298389772656
16860,109378.94564614337,107792.63731941755,9.934449955609347,9.91742921567075
16920,109378.94564614337,107247.13272807626,9.934449955609347,9.91158653652425
16980,109378.94564614337,107516.46370151044,9.934449955609347,9.914477780816666
17040,109378.94564614337,107659.9348864427,9.934449955609347,9.916012711076238
17100,109378.94564614337,107897.63265100206,9.934449955609347,9.918547783445685
17160,109378.94564614337,108543.8699429447,9.934449955609347,9.92539031188286
17220,109378.94564614337,108420.70234243211,9.934449955609347,9.92409174759104
17280,109378.94564614337,108552.28303041142,9.934449955609347,9.925478916496193
17340,109378.94564614337,108864.46466267602,9.934449955609347,9.928758168378488
17400,109378.94564614337,108591.54410525605,9.934449955609347,9.92589224406215
17460,109378.94564614337,108878.82299861922,9.934449955609347,9.928908592375889
17520,109378.94564614337,108959.02776580182,9.934449955609347,9.929748205894821
17580,109378.94564614337,108695.86638984323,9.934449955609347,9.926989230573662
17640,109378.94564614337,108455.36426279496,9.934449955609347,9.924457454394588
17700,109378.94564614337,108590.87105825871,9.934449955609347,9.925885160674715
17760,109378.94564614337,108241.22314314237,9.934449955609347,9.922194806411436
17820,109378.94564614337,108356.4263541865,9.934449955609347,9.923413044478842
17880,109378.94564614337,108572.69878933062,9.934449955609347,9.92569387984062
17940,110059.95122101015,109198.52032235407,9.94166080015773,9.932248804598919
